         1          1          0
         1          1          6
         1          1          9
         2          2          3
         2          2          6
         3          3          4
         3          3          6
         3          3          7
         3          3          9
         4          4          4
         4          4          6
         4          4          9
         5          5          0
         5          5          3
         5          5          8
         6          6          6
         6          6          7
         6          6          8
         6          6          9
         7          7          0
         7          7          4
         7          7          6
         7          7          8
         7          7          9
         8          8          8
         9          9          3
         9          9          6
         9          9          8
        10         10          0
        10         10          8
        10         10          9
        11         11          5
        11         11          8
        11         11          9
        12         12          5
        13         13          3
        13         13          4
        13         13          7
        13         13          9
        14         14          3
        14         14          7
        14         14          8
        15         15          5
        16         16          5
        16         16          8
        17         17          5
        18         18          0
        18         18          3
        18         18          5
        19         19          3
        19         19          4
        19         19          7
        19         19          8
        19         19          9
        20         20          4
        20         20          7
        20         20          9
        21         21          5
        21         21          6
        21         21          8
        21         21          9
        22         22          6
        23         23          3
        23         23          5
        23         23          9
        24         24          6
        24         24          8
        24         24          9
        25         25          9
        26         26          0
        27         27          5
        28         28          3
        28         28          6
        28         28          7
        29         29          3
        29         29          9
        30         30          0
        30         30          6
        31         31          0
        31         31          3
        31         31          9
        32         32          0
        32         32          3
        32         32          4
        32         32          8
        33         33          3
        33         33          6
        33         33          9
        34         34          0
        34         34          2
        34         34          8
        35         35          0
        35         35          3
        35         35          7
        36         36          3
        36         36          8
        37         37          3
        38         38          3
        38         38          8
        38         38          9
        39         39          1
        39         39          9
        40         40          9
        41         41          3
        41         41          8
        41         41          9
        42         42          0
        42         42          4
        43         43          3
        43         43          7
        43         43          9
        44         44          5
        44         44          7
        44         44          9
        45         45          1
        46         46          9
        47         47          3
        47         47          8
        47         47          9
        48         48          7
        48         48          8
        48         48          9
        49         49          0
        49         49          3
        49         49          8
        50         50          5
        51         51          3
        51         51          5
        51         51          8
        51         51          9
        52         52          0
        52         52          3
        53         53          4
        53         53          8
        53         53          9
        54         54          0
        55         55          0
        55         55          7
        55         55          8
        56         56          9
        57         57          6
        57         57          8
        57         57          9
        58         58          0
        58         58          3
        58         58          9
        59         59          8
        59         59          9
        60         60          0
        60         60          5
        60         60          8
        61         61          3
        61         61          9
        62         62          8
        63         63          0
        63         63          3
        63         63          8
        63         63          9
        64         64          3
        64         64          4
        64         64          5
        64         64          8
        65         65          3
        65         65          8
        66         66          5
        67         67          3
        67         67          9
        68         68          3
        68         68          8
        68         68          9
        69         69          8
        70         70          3
        71         71          3
        72         72          4
        73         73          1
        73         73          7
        74         74          0
        74         74          7
        74         74          8
        75         75          3
        75         75          8
        75         75          9
        76         76          3
        76         76          8
        76         76          9
        77         77          0
        77         77          3
        77         77          4
        77         77          6
        77         77          7
        78         78          7
        78         78          8
        78         78          9
        79         79          3
        79         79          9
        80         80          0
        80         80          3
        80         80          8
        81         81          0
        81         81          3
        81         81          8
        81         81          9
        82         82          6
        82         82          7
        83         83          7
        84         84          5
        84         84          7
        84         84          8
        85         85          3
        85         85          8
        85         85          9
        86         86          8
        86         86          9
        87         87          0
        87         87          9
        88         88          9
        89         89          0
        89         89          8
        90         90          9
        91         91          3
        91         91          5
        91         91          7
        92         92          3
        92         92          6
        93         93          7
        93         93          8
        94         94          9
        95         95          9
        96         96          0
        96         96          8
        97         97          3
        97         97          5
        98         98          5
        98         98          7
        98         98          9
        99         99          9
       100        100          0
       100        100          6
       101        101          3
       101        101          9
       102        102          0
       102        102          3
       102        102          8
       103        103          6
       103        103          7
       103        103          8
       104        104          3
       104        104          4
       105        105          8
       106        106          7
       106        106          8
       106        106          9
       107        107          3
       107        107          8
       107        107          9
       108        108          5
       109        109          0
       109        109          6
       109        109          7
       110        110          7
       110        110          9
       111        111          3
       112        112          0
       112        112          8
       113        113          0
       113        113          7
       113        113          8
       114        114          8
       115        115          0
       115        115          4
       115        115          7
       115        115          8
       116        116          0
       116        116          6
       116        116          8
       116        116          9
       117        117          0
       117        117          5
       118        118          3
       119        119          5
       119        119          8
       119        119          9
       120        120          3
       120        120          8
       121        121          8
       122        122          0
       122        122          3
       122        122          4
       122        122          6
       122        122          8
       123        123          9
       124        124          3
       124        124          4
       124        124          8
       124        124          9
       125        125          3
       125        125          6
       125        125          8
       126        126          0
       126        126          4
       126        126          5
       126        126          8
       127        127          8
       128        128          0
       128        128          7
       128        128          8
       128        128          9
       129        129          4
       129        129          8
       130        130          1
       130        130          6
       130        130          8
       130        130          9
       131        131          5
       131        131          6
       131        131          8
       131        131          9
       132        132          0
       132        132          5
       132        132          7
       133        133          0
       133        133          3
       134        134          3
       135        135          8
       136        136          8
       137        137          0
       137        137          3
